idregion,iddistrict,idchiefdom,idsection,sch_type,idschool_name
EASTERN,KAILAHUN,DEA,BAIWALA,B. Primary,BADRUDEEN ISLAMIC PRIMARY SCHOOL
EASTERN,KAILAHUN,DEA,BAIWALA,A. Pre- Primary,EARLY CHILDHOOD CARE AND DEVELOPMENT CENTRE  
EASTERN,KAILAHUN,DEA,BAIWALA,C. Junior Secondary,PEACE MEMORIAL JUNIOR SECONDARY SCHOOL  
EASTERN,KAILAHUN,DEA,BAIWALA,B. Primary,METHODIST PRIMARY SCHOOL  
EASTERN,KAILAHUN,DEA,BAIWALA,B. Primary,ROMAN CATHOLIC PRIMARY SCHOOL
EASTERN,KAILAHUN,DEA,BAIWALA,B. Primary,ROMAN CATHOLIC PRIMARY SCHOOL
EASTERN,KAILAHUN,DEA,DODO,B. Primary,PROVINCIAL ISLAMIC DODO PRIMARY SCHOOL  
EASTERN,KAILAHUN,DEA,DODO,B. Primary,ROMAN CATHOLIC PRIMARY SCHOOL
EASTERN,KAILAHUN,DEA,SAKIEMA,B. Primary,ROMAN CATHOLIC PRIMARY SCHOOL
EASTERN,KAILAHUN,DEA,SEINGA,B. Primary,ALQUDUS ISLAMIC  PRIMARY SCHOOL  
EASTERN,KAILAHUN,DEA,SEINGA,B. Primary,ROMAN CATHOLIC PRIMARY SCHOOL
EASTERN,KAILAHUN,DEA,SIENGA,B. Primary,NATIONAL ISALIMIC PRIMARY SCHOOL
EASTERN,KAILAHUN,DEA,SIENGA,B. Primary,COMMUNITY PRIMARY SCHOOL
EASTERN,KAILAHUN,DEA,SIENGA,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
EASTERN,KAILAHUN,JAWIE,BOORBOR,B. Primary,ROMAN CATHOLIC PRIMARY SCHOOL
EASTERN,KAILAHUN,JAWIE,BOORBOR,B. Primary,AL-QUDUS ISLAMIC PRIMARY  
EASTERN,KAILAHUN,JAWIE,BORBOR SECTION,B. Primary,AHMADIYYA MUSLIM PRIMARY SCHOOL
EASTERN,KAILAHUN,JAWIE,BORBOR SECTION,B. Primary,NATIONAL ISALIMIC PRIMARY SCHOOL
EASTERN,KAILAHUN,JAWIE,KAIO SECTION,B. Primary,PROVINCIAL ISLAMIC PRIMARY SCHOOL  
EASTERN,KAILAHUN,JAWIE,KAIO SECTION,B. Primary,METHODIST PRIMARY SCHOOL  
EASTERN,KAILAHUN,JAWIE,KAIO SECTION,B. Primary,METHODIST PRIMARY SCHOOL  
EASTERN,KAILAHUN,JAWIE,KAIO SECTION,C. Junior Secondary,KONAH ISLAMIC JUNIOR SECONDARY SCHOOL  
EASTERN,KAILAHUN,JAWIE,KAIO SECTION,B. Primary,ROMAN CATHOLIC PRIMARY SCHOOL
EASTERN,KAILAHUN,JAWIE,LOWER LUYENGE,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
EASTERN,KAILAHUN,JAWIE,LOWER LUYENGE,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
EASTERN,KAILAHUN,JAWIE,LOWER LUYENGE,B. Primary,SIERRA LEONE MUSLIM BROTHERHOOD PRIMARY SCHOOL
EASTERN,KAILAHUN,JAWIE,LOWER NGIEBU,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
EASTERN,KAILAHUN,JAWIE,LOWER NGIEBU,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
EASTERN,KAILAHUN,JAWIE,LOWER NGIEBU,C. Junior Secondary,NGIEBU METHODIST JUNIOR SECONDARY SCHOOL  
EASTERN,KAILAHUN,JAWIE,LOWER NGIEBU,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
EASTERN,KAILAHUN,JAWIE,LOWER NGIEBU,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
EASTERN,KAILAHUN,JAWIE,LOWER NGIEBU,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
EASTERN,KAILAHUN,JAWIE,MANO SECTION,B. Primary,ROMAN CATHOLIC PRIMARY SCHOOL
EASTERN,KAILAHUN,JAWIE,MANO SECTION,B. Primary,SIERRA LEONE CHURCH PRIMARY SCHOOL
EASTERN,KAILAHUN,JAWIE,SOWA,A. Pre- Primary,SAINT  PAUL  PRE SCHOOL  
EASTERN,KAILAHUN,JAWIE,SOWA,B. Primary,ROMAN CATHOLIC PRIMARY SCHOOL
EASTERN,KAILAHUN,JAWIE,SOWA,B. Primary,ROMAN CATHOLIC PRIMARY SCHOOL
EASTERN,KAILAHUN,JAWIE,SOWA,B. Primary,PROVINCIAL ISLAMIC PRIMARY  
EASTERN,KAILAHUN,JAWIE,SOWA,A. Pre- Primary,EARLY CHILDHOOD CARE AND DEVELOPMENT PRE- SCHOOL  
EASTERN,KAILAHUN,JAWIE,SOWA,D. Senior Secondary,JAWIE AHMADIYYA MUSLIM SENIOR SECONDARY SCHOOL
EASTERN,KAILAHUN,JAWIE,SOWA,C. Junior Secondary,JAWIE AHMADIYYA MUSLIM JUNIOR SECONDARY SCHOOL
EASTERN,KAILAHUN,JAWIE,SOWA,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
EASTERN,KAILAHUN,JAWIE,SOWA,A. Pre- Primary,DISTRICT EDUCATION COMMITTEE PRE-PRIMARY SCHOOL
EASTERN,KAILAHUN,JAWIE,SOWA,B. Primary,METHODIST PRIMARY SCHOOL  
EASTERN,KAILAHUN,JAWIE,SOWA,B. Primary,PENTECOST PRIMARY SCHOOL  
EASTERN,KAILAHUN,JAWIE,SOWA,C. Junior Secondary,PENTECOST VOCATIONAL AND TECHNICAL JR. SEC. SCHOOL  
EASTERN,KAILAHUN,JAWIE,SOWA,D. Senior Secondary,PENTECOST VOCATIONAL AND TECHNICAL SECONDARY  
EASTERN,KAILAHUN,JAWIE,SOWA,D. Senior Secondary,PROVINCIAL ISLAMIC  SENIOR  SCHOOL  
EASTERN,KAILAHUN,JAWIE,SOWA,C. Junior Secondary,PROVINCIAL ISLAMIC PRIMARY  
EASTERN,KAILAHUN,JAWIE,SOWA,C. Junior Secondary,SAINT PETER'S JUNIOR SECONDARY SCHOOL  
EASTERN,KAILAHUN,JAWIE,SOWA,D. Senior Secondary,SAINT PETERS SENIOR SECONDARY SCHOOL  
EASTERN,KAILAHUN,JAWIE,SOWA,A. Pre- Primary,SAINT PATRICKS PRE-SCHOOL  
EASTERN,KAILAHUN,JAWIE,SOWA,A. Pre- Primary,SUPREME ISLAMIC PRE-SCHOOL  
EASTERN,KAILAHUN,JAWIE,SOWA,B. Primary,SUPREME ISLAMIC PRIMARY BENDUMA ROAD DARU  
EASTERN,KAILAHUN,JAWIE,SOWA,C. Junior Secondary,UMAR BIN ALKHATAB ISLAMIC JUNIOR SECONDARY SCHOOL
EASTERN,KAILAHUN,JAWIE,SOWA,D. Senior Secondary,WALLACE AGRIC  SENIOR SECONDARY SCHOOL  
EASTERN,KAILAHUN,JAWIE,SOWA,C. Junior Secondary,WALLACE AGRICULTURAL JUNIOR SECONDARY SCHOOL.  
EASTERN,KAILAHUN,JAWIE,SOWA,B. Primary,SIERRA LEONE CHURCH PRIMARY SCHOOL
EASTERN,KAILAHUN,JAWIE,SOWA,B. Primary,BADRU DEEN ISLAMIC PRIMARY SCHOOL  
EASTERN,KAILAHUN,JAWIE,SOWA,B. Primary,FORUM FOR AFRICAN WOMEN EDUCATIONIST PRIMARY SCHOOL
EASTERN,KAILAHUN,JAWIE,SOWA,B. Primary,TAHIR AHMADIYYA MUSLIM PRIMARY SCHOOL
EASTERN,KAILAHUN,JAWIE,SOWA,B. Primary,PROVINCIAL ISLAMIC PRIMARY  
EASTERN,KAILAHUN,JAWIE,SOWA,B. Primary,NATIONAL ISALIMIC PRIMARY SCHOOL
EASTERN,KAILAHUN,JAWIE,SOWA,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
EASTERN,KAILAHUN,JAWIE,SOWA,B. Primary,SUPREME ISLAMIC COUNCIL LOWER BENDUMA ROAD  
EASTERN,KAILAHUN,JAWIE,SOWA,B. Primary,SIERRA LEONE MUSLIM BROTHERHOOD PRIMARY SCHOOL
EASTERN,KAILAHUN,JAWIE,SOWA,B. Primary,ROMAN CATHOLIC PRIMARY SCHOOL
EASTERN,KAILAHUN,JAWIE,UPPER LUYENGEH,B. Primary,NATIONAL ISALIMIC PRIMARY SCHOOL
EASTERN,KAILAHUN,JAWIE,UPPER NGIEBU,B. Primary,PROVINCIAL ISLAMIC PRIMARY  
EASTERN,KAILAHUN,JAWIE,UPPER NGIEBU,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
EASTERN,KAILAHUN,JAWIE,UPPER NGIEBU,B. Primary,ROMAN CATHOLIC PRIMARY SCHOOL
EASTERN,KAILAHUN,JAWIE,UPPER NGIEBU,B. Primary,NATIONAL ISALIMIC PRIMARY SCHOOL
EASTERN,KAILAHUN,KISSI KAMA,KAMA TOH,A. Pre- Primary,GOD IS OUR LIGHT PRE-SCHOOL  
EASTERN,KAILAHUN,KISSI KAMA,KAMATENG SECTION,B. Primary,ROMAN CATHOLIC PRIMARY SCHOOL
EASTERN,KAILAHUN,KISSI KAMA,KAMATENG SECTION,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
EASTERN,KAILAHUN,KISSI KAMA,KAMATENG SECTION,B. Primary,E.B.M BOYD BAPTIST PRIMARY SCHOOL  
EASTERN,KAILAHUN,KISSI KAMA,KAMATENG SECTION,B. Primary,ROMAN CATHOLIC PRIMARY SCHOOL
EASTERN,KAILAHUN,KISSI KAMA,KAMATENG SECTION,B. Primary,ROMAN CATHOLIC PRIMARY SCHOOL
EASTERN,KAILAHUN,KISSI KAMA,KAMATENG SECTION,B. Primary,ASSEMBLY OF  GOD'S  PRIMARY  SCHOOL  
EASTERN,KAILAHUN,KISSI KAMA,KAMATOH  SECTION,B. Primary,ROMAN CATHOLIC PRIMARY SCHOOL
EASTERN,KAILAHUN,KISSI KAMA,KAMATOH  SECTION,B. Primary,GOD IS OUR LIGHT PRIMARY SCHOOL  
EASTERN,KAILAHUN,KISSI KAMA,KAMATOH SECTION,A. Pre- Primary,FREE PENTICOSTAL PRE-PRIMARY SCHOOL  
EASTERN,KAILAHUN,KISSI KAMA,KAMATOH SECTION,C. Junior Secondary,GOVERNMENT JUNIOR SECONDARY SCHOOL
EASTERN,KAILAHUN,KISSI KAMA,KAMATOH SECTION,B. Primary,E.B.M BOYD PRIMARY SCHOOL  
EASTERN,KAILAHUN,KISSI KAMA,KAMATOH SECTION,B. Primary,METHODIST PRIMARY SCHOOL KONGORMA  
EASTERN,KAILAHUN,KISSI KAMA,KAMATOH SECTION,B. Primary,ROMAN CATHOLIC PRIMARY SCHOOL
EASTERN,KAILAHUN,KISSI KAMA,KAMATOH SECTION,B. Primary,ROMAN CATHOLIC PRIMARY SCHOOL
EASTERN,KAILAHUN,KISSI KAMA,NDAKALELEH  SECTION,B. Primary,ROMAN CATHOLIC PRIMARY SCHOOL
EASTERN,KAILAHUN,KISSI KAMA,NDAKALELEH  SECTION,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
EASTERN,KAILAHUN,KISSI TENG,BUMASSADOU,B. Primary,SIERRA LEONE MUSLIM BROTHERHOOD PRIMARY SCHOOL
EASTERN,KAILAHUN,KISSI TENG,BUMASSADOU,B. Primary,ASSEMBLES OF GOD PRIMARY SCHOOL  
EASTERN,KAILAHUN,KISSI TENG,BUMASSADOU,A. Pre- Primary,DISTRICT EDUCATION COMMITTEE PRE-PRIMARY SCHOOL
EASTERN,KAILAHUN,KISSI TENG,BUMASSADOU,B. Primary,NEW APOSTOLIC PRIMARY SCHOOL  
EASTERN,KAILAHUN,KISSI TENG,BUMASSADOU,C. Junior Secondary,NJAWIABENGU FREE PENTECOSTAL JUNIOR SECONDARY SCHOOL  
EASTERN,KAILAHUN,KISSI TENG,BUMASSADOU,B. Primary,ROMAN CATHOLIC PRIMARY SCHOOL
EASTERN,KAILAHUN,KISSI TENG,BUMASSADOU,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
EASTERN,KAILAHUN,KISSI TENG,BUMASSADOU,B. Primary,THOMAS TENGBEH MEMORIAL PRIMARY SCHOOL  
EASTERN,KAILAHUN,KISSI TENG,BUMASSADOU,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
EASTERN,KAILAHUN,KISSI TENG,KONIO,D. Senior Secondary,KISSI BENDU SENIOR SECONDARY SCHOOL.  
EASTERN,KAILAHUN,KISSI TENG,KONIO,C. Junior Secondary,KISSI BENDU SECONDARY SCHOOL JUNIOR SECONDARY SCHOOL   
EASTERN,KAILAHUN,KISSI TENG,KONIO,B. Primary,ROMAN CATHOLIC PRIMARY SCHOOL
EASTERN,KAILAHUN,KISSI TENG,KONIO,B. Primary,ROMAN CATHOLIC PRIMARY SCHOOL
EASTERN,KAILAHUN,KISSI TENG,KUNDU,B. Primary,ROMAN CATHOLIC PRIMARY SCHOOL
EASTERN,KAILAHUN,KISSI TENG,KUNDU,B. Primary,ROMAN CATHOLIC PRIMARY SCHOOL
EASTERN,KAILAHUN,KISSI TENG,LELA,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
EASTERN,KAILAHUN,KISSI TENG,LELA,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
EASTERN,KAILAHUN,KISSI TENG,LELA,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
EASTERN,KAILAHUN,KISSI TENG,LELA,B. Primary,METHODIST PRIMARY MISSION SCHOOL  
EASTERN,KAILAHUN,KISSI TENG,LELA,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
EASTERN,KAILAHUN,KISSI TENG,LELA,B. Primary,ASSEMBLIES OF GOD PRIMARY   
EASTERN,KAILAHUN,KISSI TENG,LELA,B. Primary,EVANGELICAL BAPTIST MISSION BOYD PRIMARY  
EASTERN,KAILAHUN,KISSI TENG,LOWER KONIO,B. Primary,ROMAN CATHOLIC PRIMARY SCHOOL
EASTERN,KAILAHUN,KISSI TENG,TOLI,C. Junior Secondary,ASSEMBLIES  OF  GOD JUNIOR SEC SCH  
EASTERN,KAILAHUN,KISSI TENG,TOLI,A. Pre- Primary,ASSEMBLY OF GOD CHURCH PRE-PRIMARY SCHOOL   
EASTERN,KAILAHUN,KISSI TENG,TOLI,A. Pre- Primary,EARLY CHILDHOOD DEVELOPMENT CENTER  
EASTERN,KAILAHUN,KISSI TENG,TOLI,C. Junior Secondary,FREE PENTECOSTAL ACADEMY JUNIOR SEC SCH  
EASTERN,KAILAHUN,KISSI TENG,TOLI,A. Pre- Primary,FREE PENTICOSTAL PRE-SCHOOL  
EASTERN,KAILAHUN,KISSI TENG,TOLI,B. Primary,GOD IS OUR LIGHT PRIMARY SCHOOL  
EASTERN,KAILAHUN,KISSI TENG,TOLI,A. Pre- Primary,SAINT JOSEPH PRE SCHOOL  
EASTERN,KAILAHUN,KISSI TENG,TOLI,A. Pre- Primary,TOLI PRE-ELEMENTARY SCHOOL  
EASTERN,KAILAHUN,KISSI TENG,TOLI,B. Primary,SIERRA LEONE MUSLIM BROTHERHOOD PRIMARY SCHOOL
EASTERN,KAILAHUN,KISSI TENG,TOLI,B. Primary,SPIRITUAL LIFE PRIMARY SCHOOL  
EASTERN,KAILAHUN,KISSI TENG,TOLI,B. Primary,ANSARUL PRIMARY SCHOOL  
EASTERN,KAILAHUN,KISSI TENG,TOLI,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
EASTERN,KAILAHUN,KISSI TENG,TOLI,B. Primary,TOLI PRIMARY SCHOOL  
EASTERN,KAILAHUN,KISSI TENG,TOLI,B. Primary,ROMAN CATHOLIC PRIMARY SCHOOL II
EASTERN,KAILAHUN,KISSI TENG,TOLI,B. Primary,ROMAN CATHOLIC PRIMARY SCHOOL I
EASTERN,KAILAHUN,KISSI TENG,TOLI,B. Primary,FREE PENTECOSTAL MISSION PRIMARY  
