Shape *,admin4Name_en,admin4Pcode,admin4RefName,admin3Name_en,admin3Pcode,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,Shape_Length,Shape_Area
Polygon,Bagollay,SL03041201,Bagollay,Yakemu Kpukumu,SL030412,Pujehun,SL0304,Southern,SL03,Sierra Leone,SL,0.096624,0.000561
Polygon,Bapawa,SL03041202,Bapawa,Yakemu Kpukumu,SL030412,Pujehun,SL0304,Southern,SL03,Sierra Leone,SL,0.266738,0.002302
Polygon,Batowa,SL03041203,Batowa,Yakemu Kpukumu,SL030412,Pujehun,SL0304,Southern,SL03,Sierra Leone,SL,0.247065,0.001171
Polygon,Bekowa,SL03041204,Bekowa,Yakemu Kpukumu,SL030412,Pujehun,SL0304,Southern,SL03,Sierra Leone,SL,0.109459,0.000547
Polygon,Deyombo,SL03041205,Deyombo,Yakemu Kpukumu,SL030412,Pujehun,SL0304,Southern,SL03,Sierra Leone,SL,0.121286,0.000911
Polygon,Fortune,SL03041206,Fortune,Yakemu Kpukumu,SL030412,Pujehun,SL0304,Southern,SL03,Sierra Leone,SL,0.141004,0.000731
Polygon,Kpukumu,SL03041209,Kpukumu,Yakemu Kpukumu,SL030412,Pujehun,SL0304,Southern,SL03,Sierra Leone,SL,0.356938,0.002449
Polygon,Seiwoh,SL03041210,Seiwoh,Yakemu Kpukumu,SL030412,Pujehun,SL0304,Southern,SL03,Sierra Leone,SL,0.19468,0.001814
Polygon,Yabai,SL03041212,Yabai,Yakemu Kpukumu,SL030412,Pujehun,SL0304,Southern,SL03,Sierra Leone,SL,0.185291,0.001608
Polygon,Mathirie,SL02041213,Mathirie,Koya,SL020412,Port Loko,SL0204,Northern,SL02,Sierra Leone,SL,0.233526,0.00309
Polygon,Rogbla,SL02040113,Rogbla,Bureh Kasseh Ma,SL020401,Port Loko,SL0204,Northern,SL02,Sierra Leone,SL,0.235714,0.001671
Polygon,Bakoi,SL03040401,Bakoi,Panga Kabonde,SL030404,Pujehun,SL0304,Southern,SL03,Sierra Leone,SL,0.350381,0.004405
Polygon,Jakema II,SL03040207,Jakema II,Galliness Perri,SL030402,Pujehun,SL0304,Southern,SL03,Sierra Leone,SL,0.31714,0.002921
Polygon,Kemo-Bo,SL03041207,Kemo-Bo,Yakemu Kpukumu,SL030412,Pujehun,SL0304,Southern,SL03,Sierra Leone,SL,0.121892,0.000894
Polygon,Banyande,SL03040402,Banyande,Panga Kabonde,SL030404,Pujehun,SL0304,Southern,SL03,Sierra Leone,SL,0.276786,0.0039
Polygon,Pelegbulor,SL03040213,Pelegbulor,Galliness Perri,SL030402,Pujehun,SL0304,Southern,SL03,Sierra Leone,SL,0.385395,0.005507
Polygon,Jassende Kpeima,SL03040301,Jassende Kpeima,Kpaka,SL030403,Pujehun,SL0304,Southern,SL03,Sierra Leone,SL,0.310661,0.003577
Polygon,Jassende Masaoma,SL03040302,Jassende Masaoma,Kpaka,SL030403,Pujehun,SL0304,Southern,SL03,Sierra Leone,SL,0.267785,0.002116
Polygon,Kabonde,SL03040403,Kabonde,Panga Kabonde,SL030404,Pujehun,SL0304,Southern,SL03,Sierra Leone,SL,0.249407,0.003445
Polygon,Fikie,SL03020201,Fikie,Bum,SL030202,Bonthe,SL0302,Southern,SL03,Sierra Leone,SL,0.217131,0.001915
Polygon,Tongowa,SL03010905,Tongowa,Komboya,SL030109,Bo,SL0301,Southern,SL03,Sierra Leone,SL,0.281315,0.003368
Polygon,Vanjelu,SL03011406,Vanjelu,Valunia,SL030114,Bo,SL0301,Southern,SL03,Sierra Leone,SL,0.216973,0.002663
Polygon,Dakona,SL03040101,Dakona,Barri,SL030401,Pujehun,SL0304,Southern,SL03,Sierra Leone,SL,0.310417,0.004711
Polygon,Gbengain,SL03020202,Gbengain,Bum,SL030202,Bonthe,SL0302,Southern,SL03,Sierra Leone,SL,0.261731,0.002398
Polygon,Kondogbe,SL03040404,Kondogbe,Panga Kabonde,SL030404,Pujehun,SL0304,Southern,SL03,Sierra Leone,SL,0.285209,0.002912
Polygon,Petifu Bana,SL02040208,Petifu Bana,Buya Romende,SL020402,Port Loko,SL0204,Northern,SL02,Sierra Leone,SL,0.189039,0.002038
Polygon,Gbondubum,SL03020203,Gbondubum,Bum,SL030202,Bonthe,SL0302,Southern,SL03,Sierra Leone,SL,0.220159,0.001866
Polygon,Duramania,SL02020104,Duramania,Bramaia,SL020201,Kambia,SL0202,Northern,SL02,Sierra Leone,SL,0.201295,0.002275
Polygon,Senjehun,SL03020604,Senjehun,Kpanda Kemo,SL030206,Bonthe,SL0302,Southern,SL03,Sierra Leone,SL,0.247497,0.002059
Polygon,Sewama,SL03020605,Sewama,Kpanda Kemo,SL030206,Bonthe,SL0302,Southern,SL03,Sierra Leone,SL,0.190705,0.001545
Polygon,Taokunor,SL03020606,Taokunor,Kpanda Kemo,SL030206,Bonthe,SL0302,Southern,SL03,Sierra Leone,SL,0.192322,0.001928
Polygon,Kwako Lanten,SL03020702,Kwako Lanten,Kwamebai Krim,SL030207,Bonthe,SL0302,Southern,SL03,Sierra Leone,SL,0.151417,0.001259
Polygon,Massa Settie,SL03020703,Massa Settie,Kwamebai Krim,SL030207,Bonthe,SL0302,Southern,SL03,Sierra Leone,SL,0.216272,0.002974
Polygon,Mosenten Sahen II,SL03020704,Mosenten Sahen II,Kwamebai Krim,SL030207,Bonthe,SL0302,Southern,SL03,Sierra Leone,SL,0.299175,0.003203
Polygon,Tubla,SL03020705,Tubla,Kwamebai Krim,SL030207,Bonthe,SL0302,Southern,SL03,Sierra Leone,SL,0.275739,0.003782
Polygon,Bohol,SL03020802,Bohol,Nongoba Bullom,SL030208,Bonthe,SL0302,Southern,SL03,Sierra Leone,SL,0.376489,0.002791
Polygon,Bullom,SL03020803,Bullom,Nongoba Bullom,SL030208,Bonthe,SL0302,Southern,SL03,Sierra Leone,SL,0.326186,0.003698
Polygon,Garinga,SL03020804,Garinga,Nongoba Bullom,SL030208,Bonthe,SL0302,Southern,SL03,Sierra Leone,SL,0.402757,0.006291
Polygon,Gbangbassa,SL03020805,Gbangbassa,Nongoba Bullom,SL030208,Bonthe,SL0302,Southern,SL03,Sierra Leone,SL,0.322149,0.003153
Polygon,Gbap,SL03020806,Gbap,Nongoba Bullom,SL030208,Bonthe,SL0302,Southern,SL03,Sierra Leone,SL,0.162212,0.001528
Polygon,Hahun,SL03020807,Hahun,Nongoba Bullom,SL030208,Bonthe,SL0302,Southern,SL03,Sierra Leone,SL,0.273632,0.002537
