Continet,M49code_continent,Continent_code,Subregions,M49code_Subregions,Subregions_code,Country,Alpha-3 code,M49Code_country,country_code
Asia,142,142,Southern Asia,34,034,Afghanistan,AFG,4,004
Asia,142,142,Southern Asia,34,034,Bangladesh,BGD,50,050
Asia,142,142,Southern Asia,34,034,Bhutan,BTN,64,064
Asia,142,142,Southern Asia,34,034,India,IND,356,356
Asia,142,142,Southern Asia,34,034,Iran (Islamic Republic of),IRN,364,364
Asia,142,142,Southern Asia,34,034,Maldives,MDV,462,462
Asia,142,142,Southern Asia,34,034,Nepal,NPL,524,524
Asia,142,142,Southern Asia,34,034,Pakistan,PAK,586,586
Asia,142,142,Southern Asia,34,034,Sri Lanka,LKA,144,144
Europe,150,150,Northern Europe,154,154,Aland Islands,ALA,248,248
Europe,150,150,Northern Europe,154,154,Denmark,DNK,208,208
Europe,150,150,Northern Europe,154,154,Estonia,EST,233,233
Europe,150,150,Northern Europe,154,154,Faroe Islands,FRO,234,234
Europe,150,150,Northern Europe,154,154,Finland,FIN,246,246
Europe,150,150,Northern Europe,154,154,Guernsey,GGY,831,831
Europe,150,150,Northern Europe,154,154,Iceland,ISL,352,352
Europe,150,150,Northern Europe,154,154,Ireland,IRL,372,372
Europe,150,150,Northern Europe,154,154,Isle of Man,IMN,833,833
Europe,150,150,Northern Europe,154,154,Jersey,JEY,832,832
Europe,150,150,Northern Europe,154,154,Latvia,LVA,428,428
Europe,150,150,Northern Europe,154,154,Lithuania,LTU,440,440
Europe,150,150,Northern Europe,154,154,Norway,NOR,578,578
Europe,150,150,Northern Europe,154,154,Sark,,680,680
Europe,150,150,Northern Europe,154,154,Svalbard and Jan Mayen Islands,SJM,744,744
Europe,150,150,Northern Europe,154,154,Sweden,SWE,752,752
Europe,150,150,Northern Europe,154,154,United Kingdom of Great Britain and Northern Ireland,GBR,826,826
Europe,150,150,Southern Europe,39,039,Albania,ALB,8,008
Europe,150,150,Southern Europe,39,039,Andorra,AND,20,020
Europe,150,150,Southern Europe,39,039,Bosnia and Herzegovina,BIH,70,070
Europe,150,150,Southern Europe,39,039,Croatia,HRV,191,191
Europe,150,150,Southern Europe,39,039,Gibraltar,GIB,292,292
Europe,150,150,Southern Europe,39,039,Greece,GRC,300,300
Europe,150,150,Southern Europe,39,039,Holy See,VAT,336,336
Europe,150,150,Southern Europe,39,039,Italy,ITA,380,380
Europe,150,150,Southern Europe,39,039,Malta,MLT,470,470
Europe,150,150,Southern Europe,39,039,Montenegro,MNE,499,499
Europe,150,150,Southern Europe,39,039,North Macedonia,MKD,807,807
Europe,150,150,Southern Europe,39,039,Portugal,PRT,620,620
Europe,150,150,Southern Europe,39,039,San Marino,SMR,674,674
Europe,150,150,Southern Europe,39,039,Serbia,SRB,688,688
Europe,150,150,Southern Europe,39,039,Slovenia,SVN,705,705
Europe,150,150,Southern Europe,39,039,Spain,ESP,724,724
Africa,2,002,Northern Africa,15,015,Algeria,DZA,12,012
Africa,2,002,Northern Africa,15,015,Egypt,EGY,818,818
Africa,2,002,Northern Africa,15,015,Libya,LBY,434,434
Africa,2,002,Northern Africa,15,015,Morocco,MAR,504,504
Africa,2,002,Northern Africa,15,015,Sudan,SDN,729,729
Africa,2,002,Northern Africa,15,015,Tunisia,TUN,788,788
Africa,2,002,Northern Africa,15,015,Western Sahara,ESH,732,732
Oceania,9,009,Polynesia,61,061,American Samoa,ASM,16,016
Oceania,9,009,Polynesia,61,061,Cook Islands,COK,184,184
Oceania,9,009,Polynesia,61,061,French Polynesia,PYF,258,258
Oceania,9,009,Polynesia,61,061,Niue,NIU,570,570
Oceania,9,009,Polynesia,61,061,Pitcairn,PCN,612,612
Oceania,9,009,Polynesia,61,061,Samoa,WSM,882,882
Oceania,9,009,Polynesia,61,061,Tokelau,TKL,772,772
Oceania,9,009,Polynesia,61,061,Tonga,TON,776,776
Oceania,9,009,Polynesia,61,061,Tuvalu,TUV,798,798
Oceania,9,009,Polynesia,61,061,Wallis and Futuna Islands,WLF,876,876
Africa,2,002,Middle Africa,17,017,Angola,AGO,24,024
Africa,2,002,Middle Africa,17,017,Cameroon,CMR,120,120
Africa,2,002,Middle Africa,17,017,Central African Republic,CAF,140,140
Africa,2,002,Middle Africa,17,017,Chad,TCD,148,148
Africa,2,002,Middle Africa,17,017,Congo,COG,178,178
Africa,2,002,Middle Africa,17,017,Democratic Republic of the Congo,COD,180,180
Africa,2,002,Middle Africa,17,017,Equatorial Guinea,GNQ,226,226
Africa,2,002,Middle Africa,17,017,Gabon,GAB,266,266
Africa,2,002,Middle Africa,17,017,Sao Tome and Principe,STP,678,678
Americas,10,010,Caribbean,29,029,Anguilla,AIA,660,660
Americas,10,010,Caribbean,29,029,Antigua and Barbuda,ATG,28,028
Americas,10,010,Caribbean,29,029,Aruba,ABW,533,533
Americas,10,010,Caribbean,29,029,Bahamas,BHS,44,044
Americas,10,010,Caribbean,29,029,Barbados,BRB,52,052
Americas,10,010,Caribbean,29,029,"Bonaire, Sint Eustatius and Saba",BES,535,535
Americas,10,010,Caribbean,29,029,British Virgin Islands,VGB,92,092
Americas,10,010,Caribbean,29,029,Cayman Islands,CYM,136,136
Americas,10,010,Caribbean,29,029,Cuba,CUB,192,192
Americas,10,010,Caribbean,29,029,Curaçao,CUW,531,531
Americas,10,010,Caribbean,29,029,Dominica,DMA,212,212
Americas,10,010,Caribbean,29,029,Dominican Republic,DOM,214,214
Americas,10,010,Caribbean,29,029,Grenada,GRD,308,308
Americas,10,010,Caribbean,29,029,Guadeloupe,GLP,312,312
Americas,10,010,Caribbean,29,029,Haiti,HTI,332,332
Americas,10,010,Caribbean,29,029,Jamaica,JAM,388,388
Americas,10,010,Caribbean,29,029,Martinique,MTQ,474,474
Americas,10,010,Caribbean,29,029,Montserrat,MSR,500,500
Americas,10,010,Caribbean,29,029,Puerto Rico,PRI,630,630
Americas,10,010,Caribbean,29,029,Saint Barthelemy,BLM,652,652
Americas,10,010,Caribbean,29,029,Saint Kitts and Nevis,KNA,659,659
Americas,10,010,Caribbean,29,029,Saint Lucia,LCA,662,662
Americas,10,010,Caribbean,29,029,Saint Martin (French Part),MAF,663,663
Americas,10,010,Caribbean,29,029,Saint Vincent and the Grenadines,VCT,670,670
Americas,10,010,Caribbean,29,029,Sint Maarten (Dutch part),SXM,534,534
Americas,10,010,Caribbean,29,029,Trinidad and Tobago,TTO,780,780
Americas,10,010,Caribbean,29,029,Turks and Caicos Islands,TCA,796,796
Americas,10,010,Caribbean,29,029,United States Virgin Islands,VIR,850,850
Americas,10,010,South America,5,005,Argentina,ARG,32,032
Americas,10,010,South America,5,005,Bolivia (Plurinational State of),BOL,68,068
Americas,10,010,South America,5,005,Bouvet Island,BVT,74,074
Americas,10,010,South America,5,005,Brazil,BRA,76,076
Americas,10,010,South America,5,005,Chile,CHL,152,152
Americas,10,010,South America,5,005,Colombia,COL,170,170
Americas,10,010,South America,5,005,Ecuador,ECU,218,218
Americas,10,010,South America,5,005,Falkland Islands (Malvinas),FLK,238,238
Americas,10,010,South America,5,005,French Guiana,GUF,254,254
Americas,10,010,South America,5,005,Guyana,GUY,328,328
Americas,10,010,South America,5,005,Paraguay,PRY,600,600
Americas,10,010,South America,5,005,Peru,PER,604,604
Americas,10,010,South America,5,005,South Georgia and the South Sandwich Islands,SGS,239,239
Americas,10,010,South America,5,005,Suriname,SUR,740,740
Americas,10,010,South America,5,005,Uruguay,URY,858,858
Americas,10,010,South America,5,005,Venezuela (Bolivarian Republic of),VEN,862,862
Asia,142,142,Western Asia,145,145,Armenia,ARM,51,051
Asia,142,142,Western Asia,145,145,Azerbaijan,AZE,31,031
Asia,142,142,Western Asia,145,145,Bahrain,BHR,48,048
Asia,142,142,Western Asia,145,145,Cyprus,CYP,196,196
Asia,142,142,Western Asia,145,145,Georgia,GEO,268,268
Asia,142,142,Western Asia,145,145,Iraq,IRQ,368,368
Asia,142,142,Western Asia,145,145,Israel,ISR,376,376
Asia,142,142,Western Asia,145,145,Jordan,JOR,400,400
